"soru_id","yil","ay","soru_no","soru_metni","secenek_A","secenek_B","secenek_C","secenek_D","dogru_cevap","kaynak"
"2019_2020_S07_2020_01_OCAK","2019-2020","Ocak","7","Alan Turing, henüz 16 yaşındayken Einstein ve Newton’ın kuramlarının karşılaştırmasını özgün bir şekilde yazmıştır. Daha sonra ise matematiğin efsane isimlerinden Kurt Gödel’in geliştirmiş olduğu formülleri yeniden düzenleyerek yaz­ dığı “Hesaplanabilir Sayılar” adlı makalesi ile matematik dünyasının unutulmaz isimlerinden biri olmuştur. Kendisinin en önemli özelliği, sayılar arasındaki ilişki olarak adlandırılan örüntüler konusunda üstün becerilere sahip olmasıdır. Turing, hayvanların beneklerinde bir örüntü olduğunu düşünerek bilim dünyasında fırtınalar koparmıştır. Bu parçadan Alan Turing ile ilgili aşağıdakilerden hangisi çıkarılamaz?","Kabul görmüş bilimsel yargıları değiştirmiştir.","Doğa ile matematik arasında ilişki kurmuştur.","Genç yaşta bilimsel bir çalışma ortaya koymuştur.","Ünlü matematikçiler arasında yer almıştır.","A","2020_01_OCAK_ORNEKSORULAR_SOZ"
"2019_2020_S08_2020_01_OCAK","2019-2020","Ocak","8","İnsanların deneyimledikleri farklı durumlar karşısında sabit bir algısı olduğunu düşünmek hatadır. Çünkü insanların algılarını çeşitli yollarla etkilemek mümkündür. Bu etkileme yollarının başında ise karşılaşılan durumun kişiye sunulma biçimi gelmektedir. Aşağıdaki deneylerin hangisinde sunuş biçiminin, insan algısı üzerindeki etkisi örneklenmiştir?","Yetkililerin, metro istasyonlarında yolculara klasik müzik dinletmeleri durumunda onlardaki taşkınlık ve gürültü çıkar­ ma, etrafa zarar verme gibi birçok olumsuz davranış türünün önemli ölçüde azalması","Bir kalemin ortasından ısırılarak bir süre ağızda tutulması durumunda yüzdeki gülme kaslarının harekete geçmesi ve bu yapay gülümsemeden kaynaklı olumlu sinyallerin beyne ulaşması ile kişinin daha mutlu bir ruh hâline girmesi","Araştırmacıların bir dolu bardak suyun yarısını boşalttıklarında durumu gözlemleyenlerin yüzde 69’unun, bardağı yarısı boş olarak değerlendirmesi buna karşılık boş bardağı yarısına kadar su ile doldurduklarında gözlemcilerin yüzde 88’inin bardağı yarısı dolu olarak değerlendirmesi","Bulundukları ortama bırakılan şekerleri yarım saat boyunca yememeleri hâlinde kendilerine o şekerlerin yanında başka şekerler de verileceğinin söylendiği çocuklardan, verilen süre içinde kendini kontrol edip şekere dokunma­ yanların şekerleri yiyenlere göre yıllar sonra daha mutlu ve başarılı bir yaşam sürdüklerinin belirlenmesi","C","2020_01_OCAK_ORNEKSORULAR_SOZ"
"2019_2020_S10_2020_01_OCAK","2019-2020","Ocak","10","Cümlede yüklemin bildirdiği işi yapan veya o durumda bulunan ögeye “özne” denir. Buna göre aşağıdaki cümlelerin hangisinde özne yanlış gösterilmiştir?","Çocukluk tüm insanların gizli hazinesidir. Özne","Son yıllarda hızla gelişen teknoloji kimi riskleri beraberinde getiriyor. Özne","Hayatımızın en önemli gününü bir şölene çevirmek en büyük hayalimizdir. Özne","Çiçek dikiminde görevlendirilmek üzere işçiler alınacaktır. Özne","C","2020_01_OCAK_ORNEKSORULAR_SOZ"
"2019_2020_S01_2020_01_OCAK","2019-2020","Ocak","1","Milletin kurduğu devletin ve hükûmet teşkilatının, vatandaşlara karşı yükümlü olduğu vazifeleri ve yetkileri vardır. Bu vazife ve yetkiler şöyle sıralanabilir: Memleket içinde, güvenliği ve adaleti sağlayarak ve devam ettirerek vatandaşların her çeşit hürriyetini güven altında bulundurmak. Dış siyaset ve diğer milletlerle olan ilişkileri iyi idare ederek ve her çeşit savunma kuvvetlerini, daima hazır tutarak milletin bağımsızlığını güven altında bulundurmak. Mustafa Kemal Atatürk Atatürk’ün sözlerinden hareketle devletin görev ve sorumlulukları içerisinde, I. Kişi hak ve özgürlüklerini güvence altına almak II. Halkı iç ve dış tehditlere karşı korumak III. Bağımsızlığın devamı için mücadele etmek hedeflerinden hangileri yer alır?","Yalnız I.","I ve II.","II ve III.","I, II ve III.","A","2020_01_OCAK_ORNEKSORULAR_SOZ"
"2019_2020_S01_2020_02_SUBA","2019-2020","Şubat","1","Birileri bana “Dünyanın en ilginç canlısını görmek ister misin?” diye sorsa cevabım kuşkusuz “Evet!” olurdu ve içim içime sığmazdı. Bu sorunun küçük bir çocuğa yöneltildiğini düşünelim bir de. Hiç şüphesiz yüreğinde davullar I gümbürder, bu canlının nasıl bir şey olduğunu görebilmek için yerinde duramazdı. Sevinçten âdeta deliye dönerdi. II III Numaralanmış sözlerden hangileri bu metinde geçen “yüreğinde davullar gümbürder” sözüyle anlatılmak isteneni karşılar?","Yalnız I.","I ve II.","II ve III.","I, II ve III.","D","2020_02_SUBAT_ORNEKSORULAR_SOZ"
"2019_2020_S02_2020_02_SUBA","2019-2020","Şubat","2","Bir araştırmada beş yaşındaki çocuklardan oluşan iki gruba bir çocuk programı izletildi. Gruplardan birinin odasına ilgi çekici birçok oyuncak kondu. Oyuncak bulunmayan odadaki çocuklar programın %87’sini izlerken oyuncak bulunan odadaki çocuklar sadece %47’sini izlediler. Fakat bu iki gruptaki çocuklar, programın ne kadarını hatırladıklarını ve anladıklarını ölçen bir teste tabi tutulduklarında iki grup da yüksek puanlar aldı. Bu durum karşısında şaşkına dönen araştırmacılar şöyle bir açıklama yaptılar: “- - - -” Bu parçanın sonuna anlam akışına göre aşağıdakilerden hangisi getirilmelidir?","Çocukların bir hedefe odaklanabilmeleri için bulundukları ortamın mümkün olduğunca dikkatlerini dağıtacak unsur­ lardan arındırılması gerektiğini tespit ettik.","Oyuncakların bulunduğu odadaki çocukların, dikkatlerini oyuncaklarla oynama ve programı izleme arasında kolay­ lıkla bölüştürebildikleri sonucuna ulaştık.","Anlaşılan o ki öğrenmenin niteliği, öğrenene ait özellikler kadar içinde bulunulan ortamdaki televizyon, oyuncak ve diğer insanlar gibi dış uyarıcılardan da etkilenmektedir.","Hatırlama, sezme, anlama ve hayal kurma becerileri dikkate bağlı olarak gelişmektedir.","D","2020_02_SUBAT_ORNEKSORULAR_SOZ"
"2019_2020_S03_2020_02_SUBA","2019-2020","Şubat","3","I. Unutulma hakkı, bireyin ulusal ve uluslararası metinlerde çerçevesi çizilen her türlü kişisel verisinin korunmasını sağlayan bir haktır. II. Bu durumu ortadan kaldırmak için kişisel verilerin korunması hakkının bir görünümü sayılabilecek olan “unutul­ ma hakkı” kavramı gündeme gelmiştir. III. Kişisel veriler dijital ortamlarda bir kez paylaşıldığında bu ortamda kayıt altına alınmakta, kimi zaman üçüncü kişiler tarafından bireyin rızası dışında kullanılabilmektedir. IV. Bu hak, dijital hafızada yer alan kişisel bir içeriğin, bireylerin talebi üzerine bir daha geri getirilemeyecek biçimde silinmesidir. Bu parçanın anlamlı bir bütün oluşturabilmesi için numaralanmış cümlelerden hangileri yer değiştirmelidir?","I ve II.","I ve III.","II ve IV.","III ve IV. Türkçe Örnek Soruları 4 4 ve 5. soruları aşağıdaki parçaya göre cevaplayınız. “Glisemik indeks” karbonhidrat içeren gıdaların, kan şekerini yükseltme oranını ölçen bir değerdir. Glisemik indeksi düşük olan gıdalar tüketildikten sonra kan şekeri yavaş yavaş doğal düzeyin üzerine çıkıp orta düzeye yaklaşır, iki saat içinde de doğal düzeye iner. Bu gıdalar yavaş sindirildiği için uzun süre tok tutar. Kişiyi şeker, tansiyon ve kalp hasta­ lıklarına karşı korur; bağışıklık sistemini güçlendirir. Yüksek glisemik indeksli gıdalar tüketildiğinde ise kan şekeri yarım saat içinde en yüksek düzeye ulaşır, bir saat dolmadan da doğal düzeyin altına düşer. Bu gıdalar kan şekerinde dalga­ lanmalara yol açar ve uzun vadede vücutta yağlanmaya, şeker ve kalp hastalıklarına neden olur. Aşağıdaki tabloda bazı gıdalar, glisemik değerlerine göre sınıflandırılmıştır. GLİSEMİK DEĞERİ DÜŞÜK GIDALAR GLİSEMİK DEĞERİ YÜKSEK GIDALAR Karpuz Ekmek Patates Mısır Çilek Brokoli Ceviz Elma","C","2020_02_SUBAT_ORNEKSORULAR_SOZ"
"2019_2020_S04_2020_02_SUBA","2019-2020","Şubat","4","Bu metne göre “ceviz” ve “mısır”ın, kan şekeri üzerindeki etkisi aşağıdakilerin hangisinde doğru gösterilmiştir? Mısır Ceviz Mısır Ceviz Mısır Ceviz Saat Kan Şekeri Düzeyi Yüksek Orta Doğal 1 2","Saat Kan Şekeri Düzeyi Yüksek Orta Doğal 1","Saat Kan Şekeri Düzeyi Yüksek Orta Doğal 1","Saat Kan Şekeri Düzeyi Yüksek Orta Doğal 1","Mısır Ceviz 0 0 0","B","2020_02_SUBAT_ORNEKSORULAR_SOZ"
"2019_2020_S05_2020_02_SUBA","2019-2020","Şubat","5","Bu metinden aşağıdaki yargıların hangisi çıkarılamaz?","Arılar, taşıdıkları polenlerle 130 binden fazla bitkinin üremesine katkıda bulunuyor. Ancak suni gübre, tarım ilaçları­ nın yoğun kullanımı ve iklim değişikliği nedeniyle arılar yaşamını hızla yitiriyor. Arıların sayısının azalmasıyla birlikte pek çok bitkinin yok olma tehlikesiyle karşı karşıya kalacağı belirtiliyor.","Arıların yaşamı tehdit altında. Zorlu kış şartları, hastalık yapıcı organizmalar ve küresel ısınma gibi sebepler arıların sayısını her geçen gün azaltıyor. Bir biyoteknoloji şirketi, arıların bağışıklık sistemini kuvvetlendirmek ve ölümlerini azaltmak için farklı ürünler geliştirmeye başladı.","Bal arıları çiçek tozlarını taşıdığı için bitkilerin çoğalmasında önemli bir rol oynuyor. Ne var ki son yıllarda birçok ülke­ de bal arısı topluluklarında işçi arılar aniden yok oluyor. Araştırmacılar, bu sorunu çözmek amacıyla 5 bin bal arısına minik algılayıcılar takarak bu arıların gittiği yerleri belirleyecek ve arıların sayılarının azalma nedenlerini tespit etmeye çalışacak.","Dünya Doğayı Koruma Vakfı, bal arılarının popülasyonunu korumak amacıyla daha önce yerleşim için kullanılan ancak artık kullanılmayan bölgelerin, bal arıları için sığınaklara dönüştürülebileceğini belirtiyor. Bazı araştırmacılar polen taşıyan böceklere yaşam alanı sunan, doğal yaşam dostu çiftçilik ve bahçeciliğin de bal arılarına olumlu etkisi olabileceğini söylüyor.","D","2020_02_SUBAT_ORNEKSORULAR_SOZ"
"2019_2020_S07_2020_02_SUBA","2019-2020","Şubat","7","Ayşe, Burhan, Cenk, Deniz, Ebru ve Ferhat’tan oluşan yeşil, mavi ve beyaz takım “pas atma” oyunu oynayacaktır. Oyun ile ilgili şunlar bilinmektedir: • Her takımda ikişer oyuncu vardır. • Beyaz takım, mavilere; maviler, yeşillere ve yeşiller de beyazlara pas atacaktır. • Cenk, Ebru’ya; Deniz, Ayşe’ye; Burhan ise Ferhat’a pas atacaktır. • Ayşe yeşil takımdadır. • Deniz ve Ferhat aynı takımdadır. Bu bilgilerden hareketle aşağıdakilerden hangisi söylenebilir?","Ayşe ile Cenk aynı takımdadır.","Burhan ile Ebru farklı takımdadır.","Deniz, yeşil takımdadır.","Ferhat beyaz takımdadır.","A","2020_02_SUBAT_ORNEKSORULAR_SOZ"
"2019_2020_S08_2020_02_SUBA","2019-2020","Şubat","8","Yer tamlayıcısı (dolaylı tümleç); cümlede yönelme, bulunma, ayrılma bildiren ve yüklemi yer anlamıyla tamamlayan ögedir. Buna göre aşağıdaki cümlelerin hangisinde yer tamlayıcısı yoktur?","Arkeologlar kazı çalışmalarına katılmak için Göbeklitepe’ye gitti.","Yazar, uzun zamandır ailesiyle birlikte bahçeli bir evde yaşıyor.","Müzeyi, her gün 09.30-18.00 saatleri arasında gezebilirsiniz.","Örümcek ağının ipeği, örümceğin içinde sıvı hâlde bulunur.","C","2020_02_SUBAT_ORNEKSORULAR_SOZ"
"2019_2020_S09_2020_02_SUBA","2019-2020","Şubat","9","Aşağıdaki tablolarda bir şehre ait dört günlük hava durumu tahmini ve bu tahminlerde kullanılan simgelerin anlamları verilmiştir. Tarih Hadise Sıcaklık (°C) Nem (%) Rüzgâr Hızı (km/sa) En Düşük En Yüksek En Düşük En Yüksek 5 Şubat Salı 7 Şubat Perşembe 6 Şubat Çarşamba 8 Şubat Cuma 13 9 6 5 17 12 9 9 64 83 71 48 92 98 83 73 23 19 21 19 Parçalı Bulutlu Hafif Yağmurlu Kuvvetli Yağmurlu Gök Gürültülü Sağanak Yağışlı Açık Çok Bulutlu Yağmurlu Sağanak Yağışlı Kar Yağışlı Az Bulutlu Tablo 1: Dört Günlük Hava Durumu Tahmini Tablo 2: Hava Tahminlerinde Kullanılan Simgelerin Anlamları Bu tablolardan hareketle yapılan aşağıdaki açıklamalardan hangisi yanlıştır?","Salı günü havanın sağanak yağışlı, sıcaklığın 13 ila 17 ºC arasında olması, rüzgârın ise saatte 23 km hızla esmesi bekleniyor.","Çarşamba gününün gök gürültülü sağanak yağışlı geçmesi bekleniyor ve nem oranının önceki güne göre artacağı tahmin ediliyor.","Perşembe günü havanın yağmurlu, sıcaklığın 6 ila 9 ºC arasında olacağı ve nem oranının önceki güne göre azala­ cağı tahmin ediliyor.","Cuma günü yağışların azalması, havanın az bulutlu olması, sıcaklık ve rüzgâr hızının önceki güne göre artması bekleniyor.","D","2020_02_SUBAT_ORNEKSORULAR_SOZ"
"2019_2020_S10_2020_02_SUBA","2019-2020","Şubat","10","Aşağıdaki parçalardan hangisi “Gün batımından sonra neden uykumuz gelir?” sorusuna cevap vermektedir?","B)","Bilim insanları uykuyu çeşitli evrelere ayırmıştır. Bu evreleri uykuda sırasıyla deneyimlemeye başlarız. Derin uyku evresinden sonra hafif uyku evresine kısa süreli bir dönüş yapar ve sonra REM uykusuna geçeriz. Her bir döngü ortalama 90 dakika sürer ve bir gecede dört ya da beş kere tekrarlanır.","D) Sakarya Nehri Türk Ordusu Yunan Savunma Hattı Yunan Taarruzu Sakarya Nehri Türk Ordusu Yunan Savunma Hattı Yunan Taarruzu Sakarya Nehri Türk Ordusu Yunan Savunma Hattı Yunan Taarruzu K G B D K G B D Sakarya Nehri Türk Ordusu Yunan Savunma Hattı Yunan Taarruzu K G B D K G B D","Melatonin hormonunun salınımı akşam gün ışığının ortadan kalkmasıyla artmaya başlıyor. Gece saat 02.00-04.00 arasında en yüksek seviyeye ulaşıyor. Güneşin doğuşuyla da bu seviye tekrar düşmeye başlıyor. İşte bu yüzden akşamları uyku gereksinimimiz doğuyor ve sabah uyandığımızda güne başlamaya hazır hissediyoruz. 7 1. Sakarya Savaşı’ndan önce Türk ordusu, Kütahya-Eskişehir Savaşları’ndaki kayıp sayısını azaltmak, ihtiyaçlarını gider­ mek, zaman kazanmak ve savunma için daha elverişli koşullar sağlamak üzere, Sakarya Nehri’nin doğusuna çekilmiştir. Buna göre aşağıdaki haritalardan hangisi Sakarya Savaşı’ndan önce Türk ve Yunan ordusunun durumunu gös­ termektedir?","D","2020_02_SUBAT_ORNEKSORULAR_SOZ"
"2019_2020_S01_2020_03_MART","2019-2020","Mart","1","Günümüzde kitaplar, bir tüketim nesnesi olarak sunuluyor ve okur tarafından da öyle algılanıyor. Kitabın, yaşamını kolaylaştırmasını ya da ihtiyacını hemen karşılamasını bekliyor okur. Kitap tanıtım yazıları da bu gereksinimi karşılamak üzere hazırlanıp âdeta bir satış tekniği olarak kullanılıyor. Aşağıdakilerden hangisi bu metinde eleştirilen türde bir kitap tanıtım yazısı değildir?","Bu roman, “İncecik bir kitaba, tarihin en büyük acılarını sığdırmak mümkün müdür?” sorusunun cevabı niteliğini taşıyor. Sembolik ve ders verici anlatımıyla savaşın tüm yıkıcılığını ortaya koyuyor.","Bu kitap; insanın, elindeki en büyük gücü nasıl kullanması gerektiğini, inancın ve düşüncenin neler yapabileceğini söylerken kişinin, kendisi ile bağlantıya geçmesini de sağlıyor.","Bu eser, insanın toplum içindeki yalnızlığını ele alıyor. Yazarın, büyük şehirlerde yaşayan yalnız bireylerin psikolojisini çözümleme çabasına tanık oluyoruz.","Bu yapıt, sizi kendinizi bulmaya çağırıyor. Bu yapıtla duygu dünyanızın başrolü olan benliğinize geri dönecek ve kendinize tüm içtenliğinizle “Hoş geldin!” diyeceksiniz.","C","2020_03_MART_ORNEKSORULAR_SOZ_1"
"2019_2020_S02_2020_03_MART","2019-2020","Mart","2","Bir yazarın, ana dilini bilmediği düşünülebilir mi? Soruyu ters çevirelim. Ana dilini bilmeyen bir kimse yazar olabilir mi? Maalesef olabiliyor. Üstelik belli ölçüde isim bile yapabiliyor. Bu metin aşağıda açıklaması verilen anlatım biçimlerinden hangisine örnektir?","Herhangi bir konu hakkında bilgi verilir, bir şeyler öğretmek amacına yöneliktir. Yazar, sanatlı söyleyişlerden ve öznellikten kaçınır.","Bir yerin veya varlığın özellikleri, bu özelliklerin yazarda uyandırdığı izlenimler, okurun gözünde canlanacak şekilde anlatılır.","Bir yaşam kesiti, belli bir olaya bağlı olarak anlatılır. Amaç; okuru olayların içinde yaşatmak, kahramanlarla ve olayla özdeşleştirmektir.","Yazar bir konu ile ilgili kişisel görüşünü belirterek okuyucunun o konu hakkındaki fikrini etkilemeye çalışır. Karşılıklı konuşma havası vardır.","B","2020_03_MART_ORNEKSORULAR_SOZ_1"
"2019_2020_S03_2020_03_MART","2019-2020","Mart","3","Ülkemizde sağlık giderlerinin %60’ı ilaç harcamalarından oluşuyor. Bu oran Avrupa ülkelerinde %15 civarında. Eczanelerdeki ilaçların ortalama %7’si kullanım süresi dolduğu için çöpe atılıyor. Evlerde antibiyotiklerin %44’üne hiç dokunulmuyor, diğer ilaçların ise %60’ının kullanım tarihi, kutusu dahi açılmadan sona eriyor. Bu açıklamaya göre, I. Son kullanım tarihi geçmemiş ve kullanılmayan ilaçlar için toplama merkezleri oluşturulması II. İlaç tüketimi konusunda toplumun bilinçlendirilmesi III. İlaç tanıtım yazılarının (prospektüs) dikkatle okunması fikirlerinden hangileri metinde sözü edilen soruna yönelik bir çözüm olabilir?","Yalnız I.","I ve II.","II ve III.","I, II ve III.","C","2020_03_MART_ORNEKSORULAR_SOZ_1"
"2019_2020_S04_2020_03_MART","2019-2020","Mart","4","“Tiyatro ve sinema ip üstünde yürümeye benzer fakat sinemada ip yerdedir.” sözüyle aşağıdakilerden hangisi vurgulanmıştır?","Sinemanın tiyatroya göre izleyicide daha çok heyecan uyandırdığı","Tiyatro ve sinemanın, kendi içinde birtakım problemler barındırdığı","Tiyatronun, oyuncular açısından sinemaya göre daha riskli olduğu","Sinema ve tiyatronun birçok ortak yönünün bulunduğu","D","2020_03_MART_ORNEKSORULAR_SOZ_1"
"2019_2020_S05_2020_03_MART","2019-2020","Mart","5","Küçürek hikâye; az sayıda kelimeyle yoğun anlamlar aktarma gücüne sahip, mesaj kaygısı taşımayan, yalnızca bir anın saptaması olan anlatılardır. Bu açıklamaya göre, I. Küçükken her tarafta “Suyu Koruyun, İdareli Kullanın” yazan afişler vardı. Televizyon ve radyolar sık sık bu konuyu gündeme getirir, insanları uyarırdı. Ama hiç kimse bu ikazlara aldırış etmezdi. Şimdi büyüdük, suyun sonsuza kadar yetmeyeceğini anladık. II. Ağaç dikmekle meşgul, yaşlı birine sorarlar: ― Diktiğin ağaçların meyvesini büyük ihtimalle yiyemeyeceksin, o hâlde ne diye ağaç dikmekle uğraşıyorsun? Yaşlı adam: ― Bizden evvelkilerin ağaçlarının meyvesini biz yedik, bizim diktiklerimizin meyvesini de bizden sonrakiler yesin diye uğraşıyorum. III. Sadece kemanını vermedim... Yıllar sonra yeğenine armağan ettim. O da öğrenememiş doğru dürüst, evlerinin bir duvarına asmış. Ben zaten hiç beceremedim... Hiçbir şey... İç yangını anılara yol açmaktan başka. metinlerinden hangileri küçürek hikâye örneğidir?","Yalnız I.","Yalnız III.","I ve II.","II ve III.","B","2020_03_MART_ORNEKSORULAR_SOZ_1"
"2019_2020_S06_2020_03_MART","2019-2020","Mart","6","- - - -. Örneğin kek pişirmeyi ele alalım. Ürünün tadı; farklı sürelerde yüksek sıcaklıklara maruz bırakılan tereyağı, şeker ve un gibi bileşenlerin etkileşimiyle ortaya çıkar. Kekin tadı; yüzde şu kadar un, yüzde bu kadar tereyağı gibi parçalara ayrılamaz. Her bileşen, ürüne katkı sağlamıştır. Şiir için de aynı durum geçerlidir. Bu parçanın başına anlam akışına göre aşağıdaki cümlelerden hangisi getirilmelidir?","Şiir, anlaşılmak için değil hissedilmek içindir","Şiir, düzyazıya çevrilemeyen dildir","Şiir, sözcüklerle güzel olana ulaşma sanatıdır","Şiir, ses ile anlam ortaklığından oluşur","D","2020_03_MART_ORNEKSORULAR_SOZ_1"
"2019_2020_S07_2020_03_MART","2019-2020","Mart","7","Dünyaya sana ait bir ses, bir renk, bir ezgi, bir eda, bir duruş, bir cümle bırak. Sana has bir düşüş bırak. Koşmak zorunda değilsin, düşersen kalkmak zorunda değilsin. Düştüysen bir süre çimenlerin tadını çıkarabilirsin. Sana sürekli koşmanı söylüyorlar. Yarışmanı, birilerini arkada bırakmanı, ipi önce göğüslemeni bekliyorlar. Hep daha hızlı koşmanı istiyorlar. Bense sadece annenin, çocukluğunda sana söylediği bir sözü hatırlatacağım: Koşma, düşersin! Bu parçada, I. Özgünlük II. Sakinlik III. Kararlılık kavramlarından hangileri vurgulanmaktadır?","I ve II.","I ve III.","II ve III.","I, II ve III.","A","2020_03_MART_ORNEKSORULAR_SOZ_1"
"2019_2020_S08_2020_03_MART","2019-2020","Mart","8","O L F Ç D B B Y B Y M C Z E A Bu tabloda, her sütundaki harfler aşağıdan yukarıya doğru, harflerin alfabedeki sırası (...PRSŞTUÜVYZABC...) göz önünde bulundurularak belli bir harf atlama düzenine göre dizilmiş ve orta kısımda “MECAZ” sözcüğü oluşmuştur. Bu harf atlama düzenine göre “KARNE” sözcüğü aşağıdaki tabloların hangisinde gizlenmiştir? M J B Y S P O M F D","B) M J B Y Ş P L O G D M J B Y Ş P O L G D","","D) M J B Y Ş Ö O L G D","","C","2020_03_MART_ORNEKSORULAR_SOZ_1"
"2019_2020_S09_2020_03_MART","2019-2020","Mart","9","I. Garbın âfâkını sarmışsa çelik zırhlı duvar, Benim iman dolu göğsüm gibi serhaddim var. Ulusun, korkma! Nasıl böyle bir imanı boğar, Medeniyyet dediğin tek dişi kalmış canavar? II. Arkadaş, yurduma alçakları uğratma sakın; Siper et gövdeni, dursun bu hayâsızca akın. Doğacaktır sana va’dettiği günler Hakk’ın; Kim bilir, belki yarın, belki yarından da yakın. III. Ruhumun senden İlâhî, şudur ancak emeli: Değmesin mabedimin göğsüne nâmahrem eli. Bu ezanlar -ki şehâdetleri dinin temeliEbedî yurdumun üstünde benim inlemeli. Numaralanmış dizelerin hangilerinde ihtimal anlamı vardır?","Yalnız I.","Yalnız II.","I ve III.","II ve III.","B","2020_03_MART_ORNEKSORULAR_SOZ_1"
"2019_2020_S10_2020_03_MART","2019-2020","Mart","10","ABD’de bulunan Steward Gözlemevindeki gök bilimciler Dünya’nın yörüngesinde dolanan bir gök cismi keşfettiler. Tıpkı Ay gibi, Dünya’nın çevresinde döndüğü için bu gök cismine “Mini Ay” dendi. Resmî adıysa “2020 CD3” oldu. Gök cisminin çapının 1,9 ila 3,5 metre arasında olduğu belirlendi. Yani yaklaşık bir otomobil kadar! Bu parçada, aşağıda işlevi verilen noktalama işaretlerinden hangisinin örneği yoktur?","Yalnız I.","I ve II.","II ve III.","I, II ve III.","A","2020_03_MART_ORNEKSORULAR_SOZ_1"
"2019_2020_S01_886125pg_202","2019-2020","Nisan","1","Yazarın, hikâyede süslü anlatımı öne çıkarması okura yüktür. Süslü dil, konuyu gölgede bırakarak okurun kafası­ nı karıştırır. Bu yüzden yazarın anlatımıyla hikâye arasında mesafe olması gerektiğine inanıyorum. Başka bir deyişle üslubun cüssesi hikâyeyi gölgelememeli. Bu metindeki altı çizili sözle, aşağıdakilerden hangisinin yanlışlığı vurgulanmaktadır?","Hikâyelerin, yazarın yaşamından izler taşımasının","Hikâye dilini, okurun beğenisi doğrultusunda oluşturmanın","Sanatlı dilin, hikâyede anlatılanların önüne geçmesinin","Hikâye yazarlarının, okuru yönlendirmeye çalışmasının","C","886125pg_2020_04_NISAN_ORNEKSORULAR_SOZ1"
"2019_2020_S02_886125pg_202","2019-2020","Nisan","2","I. Aydınlanma Dönemi’nde Avrupa’da “İnsan, düşünen bir varlık olarak şartlarını ve çağını ileriye taşımak zorunda­ dır.” fikri hâkimdir. Bu nedenle insanoğlu, evrenin sırlarını çözmeye çalışarak ve çağın en büyük korkusu olan ba­ şarısızlığın üstüne giderek yeni rotalar çizmek mecburiyetindedir. Çağın bir parçası olmak isteyen bilim insanları tarihten ders almak zorundadır. II. Türkiye’nin kaderini belirleyen, ülkemizi işgal kuvvetlerinin elinden kurtararak bağımsız bir devlet kurmamızı sağ­ layan Kurtuluş Savaşı, Mustafa Kemal Atatürk’ün önderliğinde, birçok kahramanın fedakârlığı sayesinde kazanıl­ mıştır. Kadın, erkek, genç, yaşlı demeden herkesin bir olduğu bu mücadele, başta Atatürk olmak üzere kahraman­ lıkları ile göğsümüzü kabartan karakterlerin zaferidir. III. XV. yüzyılda Avrupa’da birçok sanatçı ve bilim adamı tarafından başlatılan Rönesans, Avrupa’nın aydınlanma yaşadığı bir dönemdir. Avrupa’ya öğrenim görmeye gelen kişiler ve Avrupa’dan ticaret yapmak için farklı ülkelere giden tüccarlar bu aydınlanma akımının yayılmasının en temel nedenleri olarak düşünülebilir. Numaralanmış metinlerden hangileri “Zor zamanlar güçlü insanları, güçlü insanlar iyi zamanları, iyi zamanlar za­ yıf insanları, zayıf insanlar da zor zamanları ortaya çıkarır.” cümlesinde belirtilen düşüncelerden herhangi biri ile ilişkilendirilemez?","Yalnız I.","Yalnız II.","I ve III.","II ve III.","A","886125pg_2020_04_NISAN_ORNEKSORULAR_SOZ1"
"2019_2020_S03_886125pg_202","2019-2020","Nisan","3","Aşağıdaki grafiklerin karşısında açıklamaları verilmiştir. I. Türkiye’de Orman Yangınlarından Etkilenen Alan Miktarının Yıllara Göre Dağılımı 180(Bin hektar) 1601401206040200801001937 1957 1967 1947 1997 1987 1977 2017 2007 Yıl II. Türkiye’de Sera Gazı Kaynaklarının Dağılımı Konutlar (Diğer) %11 Tarım %4 Elektrik %36 Ulaştırma %17 Sanayi %32 III. Türkiye’de Kent ve Kır Nüfusunun Yıllara Göre Toplam Nüfus İçindeki Payı (%) 80 70 60 50 40 30 20 10 1960 1970 1980 1990 2000 2010 2020 Yıl 0 100 90 • Kır nüfusunun toplam nüfus içindeki payı ▬ • Kent nüfusunun toplam nüfus içindeki payı Numaralanmış grafiklerden hangileri açıklamaları ile örtüşmez?","Yalnız I.","Yalnız III.","I ve II.","II ve III. 1957’den itibaren Türkiye’de orman yangınlarında kayda değer bir azalma görülüyor. Türkiye’de sera gazı salınımı her geçen gün artıyor. 1960’tan beri Türkiye’de kent nüfusunun toplam nüfus içindeki payı her yıl artarken kır nüfusunun payı azalmıştır.","C","886125pg_2020_04_NISAN_ORNEKSORULAR_SOZ1"
"2019_2020_S04_886125pg_202","2019-2020","Nisan","4","Öğrenmenin aşamalarından bazıları şunlardır: • Bilmeme hâli: Neyi bilmediğini bilmez. • Öğrenmenin devam etmesi: Ne olduğunu bilir ancak yapamaz. • Ustalık: Otomatik olarak yapar. Aşağıdakilerden hangisi, bu metinde sözü edilen öğrenme aşamalarından herhangi birine örnek olamaz?","Telefonun video kırpma özelliğinin bilinmesine karşın bu özelliğin kullanılamaması","Bir türkünün, notalara bakılmaksızın bağlama ile kolayca çalınması","Babasının oltayla balık tuttuğunu gören bir çocuğun balık tutmaya çalışması","Bilgisayarın varlığından haberi olmayan birinin, onu açma konusunda da bilgisinin olmaması","A","886125pg_2020_04_NISAN_ORNEKSORULAR_SOZ1"
